Object Name,RA(deg),DEC(deg),Velocity,Redshift,Distance,Best Mag,Abs Mag,Photometry/Distance Note,General Note,StarSub Spectrum Name,NED Name,AGC#,Source,RA_SDSS,Dec_SDSS,z_SDSS,plate,fiberID,URL,SDSS Raw Spectrum,specObjID,Nucl/extra,RA_HI,DEC_HI,RA_AA oc,DEC_AA oc,AA_cz,Name,HI position,OC position,HI FWHM,HI Flux,S/N,rms,AA Dist,HI Mass,Observed?,4M,MDM,Lick,Palomar,HET,Note,Spectrum Quality,EXP Time,,,,,,,,,,,
091516.96+115308.4,138.82069,11.88569,4969,0.016575,72.1906,13.868878,-20.42352526,-,,t725593313813463040_ssub.fits,IC 0530,4880,SDSS,138.82069,11.885692,0.0165649000555277,2577,293,http://das.sdss.org/spectro/1d_26/2577/1d/spSpec-54086-2577-293.fit,725593313813463040.fit,725593313813463040,n,138.8166667,11.88583333,138.8208333,11.88555556,4971,I 530,091516.0+115309,091517.0+115308,486(  3),8.98(0.11),39.9,2.07,73.5,10.06,,,,,,,,,,,,,,,,,,,,
141413.39+153720.6,213.55583,15.622408,4655.229011,0.0155283,72.4171,13.927902,-20.37130365,-,,t772881733719687168_ssub.fits,,9110,SDSS,213.55583,15.622408,0.0155282998457551,2745,543,http://das.sdss.org/spectro/1d_26/2745/1d/spSpec-54231-2745-543.fit,772881733719687168.fit,772881733719687168,n,213.555,15.62111111,213.5558333,15.62222222,4641,103-123,141413.2+153716,141413.4+153720,338( 11),8.97(0.11),46.1,2.36,68.8,10,,,,,,,,,,,,,,,,,,,,
141452.03+140733.1,213.71682,14.12587,4978,0.016605,77.0633,14.073041,-20.36119701,-,,t480425843789660160_ssub.fits,UGC 09117,9117,SDSS,213.71682,14.12587,0.0166308991611004,1706,448,http://das.sdss.org/spectro/1d_26/1706/1d/spSpec-53442-1706-448.fit,480425843789660160.fit,480425843789660160,n,213.7183333,14.12888889,213.7166667,14.12555556,4980,074-150,141452.4+140744,141452.0+140732,360(  2),11.73(0.11),59.2,2.33,73.5,10.17,,,,,,,,,,,,,,,,,,,,
093346.09+100909.0,143.44205,10.152503,3234.674272,0.0107898,48.7179,13.107037,-20.3314058,-,,t366989744527114240_ssub.fits,,5092,SDSS,143.44205,10.152503,0.0107898004353046,1303,443,http://das.sdss.org/spectro/1d_26/1303/1d/spSpec-53050-1303-443.fit,366989744527114240.fit,366989744527114240,n,143.4466667,10.15305556,143.4416667,10.15222222,3200,N2911,093347.2+100911,093346.0+100908,487(134),4.04(0.13),15.3,2.42,48.7,9.35,,,,,,,,,,,,,,,,,,,,
080123.13+152209.3,120.34638,15.36926,4787,0.015968,66.3187,13.780469,-20.32771102,-,,t638052848864591872_ssub.fits,UGC 04170,,SDSS,120.34638,15.36926,0.015565499663353,2266,498,http://das.sdss.org/spectro/1d_26/2266/1d/spSpec-53679-2266-498.fit,638052848864591872.fit,638052848864591872,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155807.97+120413.0,239.53324,12.07029,4685,0.015627,72.3881,13.971902,-20.32643389,-,,t710114268216819712_ssub.fits,IC 1149,10108,SDSS,239.53324,12.07029,0.0155814997851849,2522,140,http://das.sdss.org/spectro/1d_26/2522/1d/spSpec-54570-2522-140.fit,710114268216819712.fit,710114268216819712,n,239.5320833,12.07,239.5329167,12.07,4685,I1149,155807.7+120412,155807.9+120412,183(  2),4.91(0.07),35,2.32,70.2,9.76,,,,,,,,,,,,,,,,,,,,
161034.34+100225.3,242.64312,10.04037,4731,0.015781,73.099,13.997494,-20.322063,-,,,IC 1199,10242,NED,,,,,,,,,,242.64625,10.04583333,242.6429167,10.03972222,4723,I1199,161035.1+100245,161034.3+100223,417( 10),3.38(0.13),13.9,2.61,70.7,9.6,Lick2009mar N1 46,,,Lick2009mar N1 46,,,,,,,,,,,,,,,,
133732.02+085306.6,204.38342,8.88518,1123.720871,0.00374836,22.0728,11.4,-20.319287,-,,,,8616,SDSS,204.38342,8.88518,0.00374836008995771,1802,93,http://das.sdss.org/spectro/1d_26/1802/1d/spSpec-53885-1802-093.fit,507449342735417344.fit,507449342735417344,e,204.38375,8.884444444,204.38375,8.885,1151,N5248,133732.1+085304,133732.1+085306,272(  2),73.58(0.13),322.8,3.09,15,9.59,HFS,,,,,,,,,,,,,,,,,,,
080249.63+154829.8,120.70681,15.80828,4856,0.016198,69.1067,13.880367,-20.31723377,-,,t638334469035524096_ssub.fits,NGC 2514,4189,SDSS,120.70681,15.808279,0.0162553992122412,2267,299,http://das.sdss.org/spectro/1d_26/2267/1d/spSpec-53713-2267-299.fit,638334469035524096.fit,638334469035524096,n,120.71,15.80416667,120.7070833,15.80805556,4855,N2514,080250.4+154815,080249.7+154829,117(  3),6.18(0.07),56,2.27,71.2,9.87,,,,,,,,,,,,,,,,,,,,
094617.15+054231.6,146.5715,5.7088,3088,0.0103,46.793,13.035262,-20.315642,-,,,NGC 2990,5229,SDSS,146.57151,5.70881,0.0104128001257777,993,73,http://das.sdss.org/spectro/1d_26/0993/1d/spSpec-52710-0993-073.fit,279731039906037760.fit,279731039906037760,e,146.5754167,5.706388889,146.5716667,5.708333333,3074,N2990,094618.1+054223,094617.2+054230,297(  4),16.48(0.11),82.4,2.59,43.1,9.86,MDM2009 N6 350,,MDM2009 N6 350,,,,,,,,,,,,,,,,,
094603.54+042412.4,146.51476,4.40345,4983,0.016621,73.0715,14.014585,-20.30415511,-,,t160946779813052416_ssub.fits,UGC 05226,,SDSS,146.51477,4.4034352,0.0165954995900393,571,346,http://das.sdss.org/spectro/1d_26/0571/1d/spSpec-52286-0571-346.fit,160946779813052416.fit,160946779813052416,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
091335.59+122626.9,138.3983,12.44081,4813,0.016054,71.1347,13.959857,-20.30055052,-,,t725311840254427136_ssub.fits,NGC 2786,4861,SDSS,138.3983,12.440814,0.0163174998015165,2576,631,http://das.sdss.org/spectro/1d_26/2576/1d/spSpec-54086-2576-631.fit,725311840254427136.fit,725311840254427136,n,138.3954167,12.44472222,138.3983333,12.44055556,4896,062-008,091334.9+122641,091335.6+122626,373( 12),3.47(0.10),18.5,2.18,72.4,9.63,,,,,,,,,,,,,,,,,,,,
114013.50+152032.4,175.05629,15.34236,3312,0.011048,52.0968,13.31351,-20.270545,-,,,NGC 3800,6634,SDSS,175.05624,15.34233,0.0110622998327017,1755,588,http://das.sdss.org/spectro/1d_26/1755/1d/spSpec-53386-1755-588.fit,494217877717516288.fit,494217877717516288,e,175.0558333,15.34,175.055,15.34166667,3293,N3800,114013.4+152024,114013.2+152030,398( 13),5.29(0.11),27.4,2.16,49.6,9.49,MDM2008 N1 36,,MDM2008 N1 36,,,,pilot,,,,,,,,,,,,,
080647.97+051833.8,121.6999,5.3094,4428,0.01477,63.2236,13.74159,-20.262806,-,,,UGC 04228,,NED,,,,,,,,,,,,,,,,,,,,,,,,MDM2009 N1 48,,MDM2009 N1 48,,,,,,,,,,,,,,,,,
140217.59+074103.0,210.5733,7.68417,4562,0.015217,71.649,14.017234,-20.25881667,-,,t509139444444430336_ssub.fits,NGC 5418,8946,SDSS,210.5733,7.6841673,0.0152784995734692,1808,573,http://das.sdss.org/spectro/1d_26/1808/1d/spSpec-54176-1808-573.fit,509139444444430336.fit,509139444444430336,n,210.5745833,7.681388889,210.5733333,7.683611111,4591,N5418,140217.9+074053,140217.6+074101,314( 38),2.17(0.10),12,2.28,67.5,9.37,,,,,,,,,,,,,,,,,,,,
160526.82+150131.2,241.36177,15.02534,4706,0.015697,72.5927,14.073958,-20.23050675,-,,t710677211295776768_ssub.fits,IC 1174,,SDSS,241.36177,15.025336,0.0156686995178461,2524,549,http://das.sdss.org/spectro/1d_26/2524/1d/spSpec-54568-2524-549.fit,710677211295776768.fit,710677211295776768,n,,,,,,,,,,,,,,,,,,,,,,B,,,,,,,,,,,,
095106.03+090030.9,147.77513,9.0086,5198,0.017339,76.2022,14.1816,-20.22823755,-,,t367833936513990656_ssub.fits,UGC 05286,5286,SDSS,147.77513,9.0086037,0.0173492003232241,1306,201,http://das.sdss.org/spectro/1d_26/1306/1d/spSpec-52996-1306-201.fit,367833936513990656.fit,367833936513990656,n,147.7766667,9.006111111,147.7754167,9.008055556,5199,063-085,095106.4+090022,095106.1+090029,318(  2),10.57(0.10),58.9,2.25,76.8,10.17,,,,,,,,,,,,,,,,,,,,
143225.73+080443.1,218.10725,8.07864,2230.620429,0.00744061,37.3026,12.632654,-20.226042,-,,,,9352,SDSS,218.10725,8.07864,0.00744060985743999,1812,161,http://das.sdss.org/spectro/1d_26/1812/1d/spSpec-53795-1812-161.fit,510263706240679936.fit,510263706240679936,e,218.10625,8.083888889,218.1070833,8.078611111,2218,N5665,143225.5+080502,143225.7+080443,150( 12),6.68(0.09),59.6,2.04,19.8,8.79,MDM2009 N4 236,,MDM2009 N4 236,,,,,,,,,,,,,,,,,
084559.54+123711.6,131.4981,12.619904,4123.161716,0.0137535,59.9191,13.664174,-20.22365241,-,,t684215328275693568_ssub.fits,,4584,SDSS,131.4981,12.619904,0.0137534998357296,2430,287,http://das.sdss.org/spectro/1d_26/2430/1d/spSpec-53815-2430-287.fit,684215328275693568.fit,684215328275693568,n,131.5008333,12.61416667,131.4979167,12.61972222,4110,N2661,084600.2+123651,084559.5+123711,90(  3),8.11(0.07),80.3,2.37,61.3,9.86,,,,,,,,,,,,,,,,,,,,
075940.11+152312.5,119.91716,15.38682,4623,0.015421,66.0695,13.877894,-20.2221111,-,,t638052848545824768_ssub.fits,UGC 04145,4145,SDSS,119.91716,15.386817,0.0155092999339104,2266,422,http://das.sdss.org/spectro/1d_26/2266/1d/spSpec-53679-2266-422.fit,638052848545824768.fit,638052848545824768,n,119.9179167,15.39083333,119.9170833,15.38722222,4634,088-014,075940.3+152327,075940.1+152314,410(  7),2.31(0.11),11.2,2.26,68.1,9.4,,,,,,,,,,,,,,,,,,,,
103638.44+141015.9,159.16017,14.1711,3075,0.010257,47.0226,13.140723,-20.22081019,-,,t492246375178698752_ssub.fits,NGC 3300,,SDSS,159.16017,14.171103,0.0100870998576283,1748,378,http://das.sdss.org/spectro/1d_26/1748/1d/spSpec-53112-1748-378.fit,492246375178698752.fit,492246375178698752,n,,,,,,,,,,,,,,,,,,,,,pilot,,,,,,,,,,,,,
135607.20+051517.1,209.03004,5.25477,1139,0.003799,21.0423,11.236158,-20.21546604,-,,,NGC 5363 ,,NED,,,,,,,,,,,,,,,,,,,,,,,,HFS,,,,,,,,,,,,,,,,,,,
080130.77+094227.5,120.37821,9.70764,4879,0.016275,69.2849,13.991248,-20.21194497,-,,t681120495705260032_ssub.fits,UGC 04171,4171,SDSS,120.37812,9.7077497,0.0162812005728483,2419,431,http://das.sdss.org/spectro/1d_26/2419/1d/spSpec-54139-2419-431.fit,681120495705260032.fit,681120495705260032,n,120.3804167,9.711666667,120.3791667,9.706944444,4890,059-016,080131.3+094242,080131.0+094225,506(  6),2.86(0.13),10.5,2.41,72,9.54,,,,,,,,,,,,,,,,,,,,
091020.11+070216.5,137.58383,7.03794,1354,0.004516,21.3831,11.448847,-20.201506,-,,,NGC 2775,4820,SDSS,137.58388,7.03801,0.00490076001733541,1194,400,http://das.sdss.org/spectro/1d_26/1194/1d/spSpec-52703-1194-400.fit,336307481531645952.fit,336307481531645952,e,137.585,7.036111111,137.58375,7.038333333,1353,N2775,091020.4+070210,091020.1+070218,409(  2),3.25(0.11),16.2,2.19,21.6,8.55,HFS,,,,,,,,,,,,,,,,,,,
140323.14+092653.1,210.84644,9.4480892,4643.507307,0.0154892,72.4483,14.10322,-20.196921,-,,t509419269444861952_ssub.fits,,8965,SDSS,210.84644,9.4480892,0.015489200130105,1809,404,http://das.sdss.org/spectro/1d_26/1809/1d/spSpec-53792-1809-404.fit,509419269444861952.fit,509419269444861952,n,210.8466667,9.445833333,210.8466667,9.4475,4640,N5434,140323.2+092645,140323.2+092651,35(  4),7.59(0.06),108.5,2.57,68.3,9.92,,,,,,,,B+,4900,,,,,,,,,,,
142349.51+143819.5,215.95633,14.63877,2319,0.007735,39.1344,12.82095,-20.141843,-,,,NGC 5600,9220,SDSS,215.95633,14.63877,0.00769810006022453,2746,104,http://das.sdss.org/spectro/1d_26/2746/1d/spSpec-54232-2746-104.fit,773163211150065664.fit,773163211150065664,e,215.95375,14.64194444,215.9558333,14.63888889,2312,N5600,142348.9+143831,142349.4+143820,70(  4),6.27(0.07),66.8,2.48,36.3,9.29,MDM2009 N2 183,,MDM2009 N2 183,,,,,,,,,,,,,,,,,
140902.31+141901.2,212.25965,14.317005,5302.775595,0.0176883,81.3947,14.423748,-20.12923263,-,,t772881732478173184_ssub.fits,,,SDSS,212.25965,14.317005,0.017688300460577,2745,247,http://das.sdss.org/spectro/1d_26/2745/1d/spSpec-54231-2745-247.fit,772881732478173184.fit,772881732478173184,n,,,,,,,,,,,,,,,,,,,,,,B+,3500,,,,,,,,,,,
101819.72+070257.5,154.5822,7.04931,3780,0.012609,57.3028,13.667076,-20.12380322,-,,t281138587712356352_ssub.fits,IC 0602,5561,SDSS,154.58221,7.0493291,0.0126270996406674,998,341,http://das.sdss.org/spectro/1d_26/0998/1d/spSpec-52750-0998-341.fit,281138587712356352.fit,281138587712356352,n,154.5775,7.043611111,154.5820833,7.048333333,3731,I 602,101818.6+070237,101819.7+070254,347(  4),13.48(0.12),65,2.49,56.3,10,,,,,,,,,,,,,,,,,,,,
082241.19+041544.7,125.67165,4.26243,4162,0.013883,59.9605,13.776653,-20.112673,-,,,IC 0504,4372,NED,,,,,,,,,,125.6695833,4.258611111,125.67125,4.2625,4152,I 504,082240.7+041531,082241.1+041545,462( 14),4.38(0.13),16.6,2.55,62.3,9.6,MDM2009 N4 202,,MDM2009 N4 202,,,,,,,,,,,,,,,,,
